order_item_id,order_id,product_id,quantity
1,1,218,5
2,1,335,5
3,1,144,3
4,1,491,2
5,2,78,3
6,2,435,2
7,3,244,2
8,3,331,2
9,3,152,4
10,3,398,4
11,4,195,3
12,5,131,3
13,5,124,3
14,5,390,3
15,5,177,4
16,5,63,2
17,6,21,5
18,6,166,3
19,6,176,3
20,6,118,3
21,7,257,5
22,7,174,5
23,7,293,1
24,7,302,2
25,7,51,3
26,8,236,3
27,8,351,5
28,8,478,5
29,8,130,3
30,9,172,1
31,9,109,1
32,9,361,1
33,9,312,2
34,9,389,1
35,10,420,1
36,10,107,2
37,10,75,1
38,10,378,4
39,10,429,1
40,11,215,1
41,11,72,5
42,11,183,4
43,11,485,2
44,12,328,1
45,13,407,5
46,13,327,5
47,14,112,2
48,14,49,4
49,15,478,5
50,15,414,1
51,15,73,1
52,16,463,4
53,17,411,5
54,17,437,5
55,17,389,5
56,18,246,3
57,18,39,5
58,18,461,3
59,18,5,1
60,18,183,3
61,19,447,5
62,19,476,1
63,20,278,4
64,21,211,1
65,21,170,3
66,21,266,2
67,21,489,5
68,22,488,2
69,22,194,2
70,23,395,5
71,23,124,2
72,24,142,3
73,24,397,3
74,24,220,5
75,24,294,3
76,25,475,5
77,25,185,2
78,25,357,1
79,25,478,3
80,26,268,3
81,26,286,1
82,26,269,4
83,27,77,4
84,27,189,5
85,28,210,2
86,29,350,4
87,29,30,2
88,29,445,4
89,29,247,5
90,29,461,2
91,30,96,2
92,30,108,1
93,30,473,5
94,31,334,2
95,31,208,3
96,31,214,1
97,31,75,4
98,31,232,1
99,32,70,1
100,33,437,5
101,34,24,5
102,34,244,5
103,34,188,2
104,35,75,2
105,35,246,3
106,36,165,1
107,36,304,4
108,36,316,5
109,36,115,3
110,36,452,5
111,37,259,4
112,37,422,2
113,37,339,3
114,37,477,1
115,38,120,4
116,38,277,4
117,38,203,4
118,39,466,4
119,39,7,2
120,39,347,4
121,39,97,5
122,40,480,5
123,40,244,1
124,40,422,2
125,40,73,4
126,41,452,5
127,41,63,5
128,41,364,5
129,41,481,3
130,42,380,1
131,42,190,2
132,42,423,2
133,42,17,3
134,43,270,2
135,43,75,5
136,43,491,3
137,43,90,5
138,44,479,2
139,44,19,3
140,44,474,1
141,44,278,4
142,45,193,5
143,45,73,3
144,46,203,3
145,46,160,1
146,47,276,4
147,47,438,4
148,47,243,3
149,48,292,3
